1. Qwen/QwQ-32B | pipeline=text-generation | likes=2937 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071
144. Qwen/QwQ-32B-AWQ | pipeline=text-generation | likes=134 | tags: safetensors, qwen2, chat, text-generation, conversational, en, arxiv:2309.00071, arxiv:2412.15115
145. Qwen/Qwen3.5-35B-A3B-Base | pipeline=image-text-to-text | likes=134 | tags: transformers, safetensors, qwen3_5_moe, image-text-to-text, conversational, license:apache-2.0, endpoints_compatible, deploy:azure
146. Qwen/Qwen2.5-Coder-1.5B-Instruct | pipeline=text-generation | likes=132 | tags: transformers, safetensors, qwen2, text-generation, code, codeqwen, chat, qwen
147. Qwen/Qwen1.5-110B-Chat | pipeline=text-generation | likes=130 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.16609
148. Qwen/Qwen3-30B-A3B-Instruct-2507-FP8 | pipeline=text-generation | likes=130 | tags: transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2505.09388, base_model:Qwen/Qwen3-30B-A3B-Instruct-2507, base_model:quantized:Qwen/Qwen3-30B-A3B-Instruct-2507
149. Qwen/Qwen3-Embedding-8B-GGUF | pipeline=? | likes=129 | tags: gguf, arxiv:2506.05176, base_model:Qwen/Qwen3-8B-Base, base_model:quantized:Qwen/Qwen3-8B-Base, license:apache-2.0, endpoints_compatible, region:us, conversational
150. Qwen/Qwen2.5-1.5B-Instruct-GGUF | pipeline=text-generation | likes=123 | tags: gguf, chat, text-generation, en, arxiv:2407.10671, base_model:Qwen/Qwen2.5-1.5B-Instruct, base_model:quantized:Qwen/Qwen2.5-1.5B-Instruct, license:apache-2.0
151. Qwen/Qwen3Guard-Gen-8B | pipeline=text-generation | likes=119 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2510.14276, base_model:Qwen/Qwen3-8B, base_model:finetune:Qwen/Qwen3-8B
152. Qwen/Qwen3-VL-2B-Thinking | pipeline=image-text-to-text | likes=115 | tags: transformers, safetensors, qwen3_vl, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
153. Qwen/Qwen2.5-Math-7B | pipeline=text-generation | likes=114 | tags: transformers, safetensors, qwen2, text-generation, conversational, en, arxiv:2409.12122, base_model:Qwen/Qwen2.5-7B
154. Qwen/Qwen2.5-Coder-3B-Instruct | pipeline=text-generation | likes=114 | tags: transformers, safetensors, qwen2, text-generation, code, codeqwen, chat, qwen
155. Qwen/Qwen3-Embedding-4B-GGUF | pipeline=? | likes=114 | tags: transformers, gguf, arxiv:2506.05176, base_model:Qwen/Qwen3-4B-Base, base_model:quantized:Qwen/Qwen3-4B-Base, license:apache-2.0, endpoints_compatible, region:us
156. Qwen/Qwen3-4B-GGUF | pipeline=text-generation | likes=113 | tags: gguf, text-generation, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-4B, base_model:quantized:Qwen/Qwen3-4B, license:apache-2.0, endpoints_compatible
157. Qwen/Qwen3-VL-30B-A3B-Instruct-FP8 | pipeline=image-text-to-text | likes=113 | tags: transformers, safetensors, qwen3_vl_moe, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
158. Qwen/Qwen3-VL-4B-Thinking | pipeline=image-text-to-text | likes=113 | tags: transformers, safetensors, qwen3_vl, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
159. Qwen/Qwen1.5-14B-Chat | pipeline=text-generation | likes=112 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.16609
160. Qwen/CodeQwen1.5-7B-Chat-GGUF | pipeline=text-generation | likes=111 | tags: gguf, chat, text-generation, en, arxiv:2309.16609, license:other, endpoints_compatible, region:us
161. Qwen/Qwen3-VL-8B-Instruct-GGUF | pipeline=image-text-to-text | likes=111 | tags: transformers, gguf, image-text-to-text, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191, arxiv:2308.12966, base_model:Qwen/Qwen3-VL-8B-Instruct
162. Qwen/Qwen2.5-Math-1.5B | pipeline=text-generation | likes=110 | tags: transformers, safetensors, qwen2, text-generation, conversational, en, arxiv:2409.12122, base_model:Qwen/Qwen2.5-1.5B
163. Qwen/Qwen2.5-0.5B-Instruct-GGUF | pipeline=text-generation | likes=110 | tags: gguf, chat, text-generation, en, arxiv:2407.10671, base_model:Qwen/Qwen2.5-0.5B-Instruct, base_model:quantized:Qwen/Qwen2.5-0.5B-Instruct, license:apache-2.0
164. Qwen/Qwen3-8B-Base | pipeline=text-generation | likes=110 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, license:apache-2.0, text-generation-inference
165. Qwen/Qwen1.5-32B-Chat | pipeline=text-generation | likes=109 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.16609
166. Qwen/Qwen3-14B-GGUF | pipeline=text-generation | likes=109 | tags: gguf, text-generation, arxiv:2309.00071, base_model:Qwen/Qwen3-14B, base_model:quantized:Qwen/Qwen3-14B, license:apache-2.0, endpoints_compatible, region:us
167. Qwen/Qwen3.5-122B-A10B-FP8 | pipeline=image-text-to-text | likes=107 | tags: transformers, safetensors, qwen3_5_moe, image-text-to-text, conversational, base_model:Qwen/Qwen3.5-122B-A10B, base_model:quantized:Qwen/Qwen3.5-122B-A10B, license:apache-2.0
168. Qwen/Qwen2.5-VL-7B-Instruct-AWQ | pipeline=image-text-to-text | likes=106 | tags: transformers, safetensors, qwen2_5_vl, image-text-to-text, multimodal, conversational, en, arxiv:2309.00071
169. Qwen/CodeQwen1.5-7B | pipeline=text-generation | likes=104 | tags: transformers, safetensors, qwen2, text-generation, pretrained, en, arxiv:2309.16609, license:other
170. Qwen/Qwen1.5-110B | pipeline=text-generation | likes=104 | tags: transformers, safetensors, qwen2, text-generation, pretrained, conversational, en, arxiv:2309.16609
171. Qwen/Qwen2-1.5B | pipeline=text-generation | likes=102 | tags: transformers, safetensors, qwen2, text-generation, pretrained, conversational, en, license:apache-2.0
172. Qwen/Qwen2.5-72B | pipeline=text-generation | likes=101 | tags: transformers, safetensors, qwen2, text-generation, conversational, en, arxiv:2407.10671, license:other
173. Qwen/Qwen2.5-32B-Instruct-AWQ | pipeline=text-generation | likes=101 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071
174. Qwen/Qwen-14B-Chat-Int4 | pipeline=text-generation | likes=100 | tags: transformers, safetensors, qwen, text-generation, custom_code, zh, en, arxiv:2309.16609
175. Qwen/Qwen1.5-0.5B-Chat | pipeline=text-generation | likes=98 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.16609
176. Qwen/Qwen-Audio-Chat | pipeline=text-generation | likes=96 | tags: transformers, safetensors, qwen, text-generation, audio-text-to-text, custom_code, zh, en
177. Qwen/Qwen-VL-Chat-Int4 | pipeline=text-generation | likes=95 | tags: transformers, safetensors, qwen, text-generation, custom_code, zh, en, arxiv:2308.12966
178. Qwen/Qwen3-4B-Base | pipeline=text-generation | likes=95 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, license:apache-2.0, text-generation-inference
179. Qwen/Qwen2.5-Coder-1.5B | pipeline=text-generation | likes=94 | tags: transformers, safetensors, qwen2, text-generation, code, qwen, qwen-coder, codeqwen
180. Qwen/Qwen2.5-Coder-3B-Instruct-GGUF | pipeline=text-generation | likes=93 | tags: transformers, gguf, code, codeqwen, chat, qwen, qwen-coder, text-generation
181. Qwen/Qwen3-235B-A22B-FP8 | pipeline=text-generation | likes=93 | tags: transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-235B-A22B
182. Qwen/Qwen2.5-Math-7B-Instruct | pipeline=text-generation | likes=91 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2409.12122
183. Qwen/Qwen3.5-35B-A3B-GPTQ-Int4 | pipeline=image-text-to-text | likes=91 | tags: transformers, safetensors, qwen3_5_moe, image-text-to-text, conversational, base_model:Qwen/Qwen3.5-35B-A3B, base_model:quantized:Qwen/Qwen3.5-35B-A3B, license:apache-2.0
184. Qwen/Qwen2.5-Math-PRM-7B | pipeline=text-classification | likes=90 | tags: transformers, safetensors, qwen2, feature-extraction, reward model, text-classification, custom_code, en
185. Qwen/Qwen3-Next-80B-A3B-Instruct-FP8 | pipeline=text-generation | likes=90 | tags: transformers, safetensors, qwen3_next, text-generation, conversational, arxiv:2309.00071, arxiv:2404.06654, arxiv:2505.09388
186. Qwen/Qwen2-Math-72B-Instruct | pipeline=text-generation | likes=89 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2407.10671
187. Qwen/Qwen3.5-9B-Base | pipeline=image-text-to-text | likes=89 | tags: transformers, safetensors, qwen3_5, image-text-to-text, conversational, license:apache-2.0, endpoints_compatible, region:us
188. Qwen/Qwen3-VL-32B-Thinking | pipeline=image-text-to-text | likes=87 | tags: transformers, safetensors, qwen3_vl, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
189. Qwen/Qwen3-235B-A22B-Thinking-2507-FP8 | pipeline=text-generation | likes=86 | tags: transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2505.09388, base_model:Qwen/Qwen3-235B-A22B-Thinking-2507, base_model:quantized:Qwen/Qwen3-235B-A22B-Thinking-2507
190. Qwen/Qwen1.5-32B | pipeline=text-generation | likes=85 | tags: transformers, safetensors, qwen2, text-generation, pretrained, conversational, en, arxiv:2309.16609
191. Qwen/Qwen3-32B-FP8 | pipeline=text-generation | likes=84 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-32B
192. Qwen/Qwen3-30B-A3B-FP8 | pipeline=text-generation | likes=84 | tags: transformers, safetensors, text-generation, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-30B-A3B, base_model:finetune:Qwen/Qwen3-30B-A3B, license:apache-2.0
193. Qwen/Qwen2-57B-A14B-Instruct | pipeline=text-generation | likes=83 | tags: transformers, safetensors, qwen2_moe, text-generation, chat, conversational, en, arxiv:2309.00071
194. Qwen/Qwen2.5-Math-RM-72B | pipeline=text-classification | likes=83 | tags: transformers, safetensors, qwen2, feature-extraction, reward model, text-classification, custom_code, en
195. Qwen/Qwen3.5-0.8B-Base | pipeline=image-text-to-text | likes=83 | tags: transformers, safetensors, qwen3_5, image-text-to-text, conversational, license:apache-2.0, endpoints_compatible, region:us
196. Qwen/WorldPM-72B | pipeline=text-classification | likes=82 | tags: transformers, safetensors, qwen2, feature-extraction, Modeling World Preference, WorldPM, reward model, preference model
197. Qwen/Qwen2-VL-72B | pipeline=image-text-to-text | likes=80 | tags: transformers, safetensors, qwen2_vl, image-text-to-text, multimodal, conversational, en, arxiv:2409.12191
198. Qwen/Qwen2.5-72B-Instruct-AWQ | pipeline=text-generation | likes=78 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071
199. Qwen/Qwen3-4B-Instruct-2507-FP8 | pipeline=text-generation | likes=78 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, base_model:Qwen/Qwen3-4B-Instruct-2507, base_model:quantized:Qwen/Qwen3-4B-Instruct-2507
200. Qwen/Qwen3.5-2B-Base | pipeline=image-text-to-text | likes=78 | tags: transformers, safetensors, qwen3_5, image-text-to-text, conversational, license:apache-2.0, endpoints_compatible, region:us
201. Qwen/Qwen2.5-Coder-14B | pipeline=text-generation | likes=77 | tags: transformers, safetensors, qwen2, text-generation, code, qwen, qwen-coder, codeqwen
202. Qwen/Qwen2.5-Math-PRM-72B | pipeline=text-classification | likes=77 | tags: transformers, safetensors, qwen2, feature-extraction, reward model, text-classification, custom_code, en
203. Qwen/Qwen-7B-Chat-Int4 | pipeline=text-generation | likes=75 | tags: transformers, safetensors, qwen, text-generation, custom_code, zh, en, arxiv:2309.16609
204. Qwen/Qwen3-1.7B-Base | pipeline=text-generation | likes=75 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, license:apache-2.0, text-generation-inference
205. Qwen/Qwen3Guard-Gen-0.6B | pipeline=text-generation | likes=75 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2510.14276, base_model:Qwen/Qwen3-0.6B, base_model:finetune:Qwen/Qwen3-0.6B
206. Qwen/Qwen1.5-1.8B-Chat | pipeline=text-generation | likes=74 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.16609
207. Qwen/Qwen-1_8B | pipeline=text-generation | likes=73 | tags: transformers, safetensors, qwen, text-generation, custom_code, zh, en, arxiv:2309.16609
208. Qwen/Qwen2-0.5B-Instruct-GGUF | pipeline=text-generation | likes=73 | tags: gguf, instruct, chat, text-generation, en, base_model:Qwen/Qwen2-0.5B-Instruct, base_model:quantized:Qwen/Qwen2-0.5B-Instruct, license:apache-2.0
209. Qwen/Qwen2.5-VL-72B-Instruct-AWQ | pipeline=image-text-to-text | likes=73 | tags: transformers, safetensors, qwen2_5_vl, image-text-to-text, multimodal, conversational, en, arxiv:2309.00071
210. Qwen/Qwen3-30B-A3B-Base | pipeline=text-generation | likes=73 | tags: transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2505.09388, license:apache-2.0, eval-results
211. Qwen/Qwen3-VL-8B-Instruct-FP8 | pipeline=image-text-to-text | likes=73 | tags: transformers, safetensors, qwen3_vl, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
212. Qwen/Qwen-Image-Bench | pipeline=image-text-to-text | likes=73 | tags: transformers, safetensors, qwen3_5, image-text-to-text, judge-model, text-to-image, evaluation, benchmark
213. Qwen/Qwen2.5-Coder-0.5B-Instruct | pipeline=text-generation | likes=72 | tags: transformers, safetensors, qwen2, text-generation, code, codeqwen, chat, qwen
214. Qwen/Qwen3-30B-A3B-GGUF | pipeline=text-generation | likes=72 | tags: gguf, text-generation, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-30B-A3B, base_model:quantized:Qwen/Qwen3-30B-A3B, license:apache-2.0, endpoints_compatible
215. Qwen/Qwen3.5-4B-Base | pipeline=image-text-to-text | likes=72 | tags: transformers, safetensors, qwen3_5, image-text-to-text, conversational, license:apache-2.0, endpoints_compatible, region:us
216. Qwen/Qwen1.5-7B-Chat-GGUF | pipeline=text-generation | likes=71 | tags: gguf, chat, text-generation, en, arxiv:2309.16609, license:other, endpoints_compatible, region:us
217. Qwen/Qwen3-14B-AWQ | pipeline=text-generation | likes=70 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-14B
218. Qwen/Qwen3-TTS-Tokenizer-12Hz | pipeline=audio-to-audio | likes=70 | tags: safetensors, qwen3_tts_tokenizer_12hz, audio, tts, speech, codec, audio-to-audio, arxiv:2601.15621
219. Qwen/Qwen3-Coder-Next-Base | pipeline=text-generation | likes=70 | tags: transformers, safetensors, qwen3_next, text-generation, conversational, license:apache-2.0, endpoints_compatible, region:us
220. Qwen/WebWorld-32B | pipeline=text-generation | likes=70 | tags: transformers, safetensors, qwen3, text-generation, WebWorld, web-agent, world-model, simulator
221. Qwen/Qwen2.5-Coder-1.5B-Instruct-GGUF | pipeline=text-generation | likes=69 | tags: transformers, gguf, code, codeqwen, chat, qwen, qwen-coder, text-generation
222. Qwen/Qwen3-32B-GGUF | pipeline=text-generation | likes=69 | tags: gguf, text-generation, arxiv:2309.00071, base_model:Qwen/Qwen3-32B, base_model:quantized:Qwen/Qwen3-32B, license:apache-2.0, endpoints_compatible, region:us
223. Qwen/Qwen1.5-14B-Chat-GGUF | pipeline=text-generation | likes=67 | tags: gguf, chat, text-generation, en, arxiv:2309.16609, license:other, endpoints_compatible, region:us
224. Qwen/Qwen2-VL-7B | pipeline=image-text-to-text | likes=67 | tags: transformers, safetensors, qwen2_vl, image-text-to-text, multimodal, conversational, en, arxiv:2409.12191
225. Qwen/Qwen3-30B-A3B-Thinking-2507-FP8 | pipeline=text-generation | likes=67 | tags: transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2505.09388, base_model:Qwen/Qwen3-30B-A3B-Thinking-2507, base_model:quantized:Qwen/Qwen3-30B-A3B-Thinking-2507
226. Qwen/Qwen3-4B-Thinking-2507-FP8 | pipeline=text-generation | likes=66 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, base_model:Qwen/Qwen3-4B-Thinking-2507, base_model:quantized:Qwen/Qwen3-4B-Thinking-2507
227. Qwen/Qwen2-VL-2B | pipeline=image-text-to-text | likes=65 | tags: transformers, safetensors, qwen2_vl, image-text-to-text, multimodal, conversational, en, arxiv:2409.12191
228. Qwen/Qwen2.5-VL-3B-Instruct-AWQ | pipeline=image-text-to-text | likes=64 | tags: transformers, safetensors, qwen2_5_vl, image-text-to-text, multimodal, conversational, en, arxiv:2309.00071
229. Qwen/WebWorld-8B | pipeline=text-generation | likes=64 | tags: transformers, safetensors, WebWorld, web-agent, world-model, simulator, browser, a11y
230. Qwen/Qwen2.5-VL-32B-Instruct-AWQ | pipeline=image-text-to-text | likes=63 | tags: transformers, safetensors, qwen2_5_vl, image-text-to-text, multimodal, conversational, en, arxiv:2309.00071
231. Qwen/Qwen3-0.6B-GGUF | pipeline=text-generation | likes=63 | tags: gguf, text-generation, base_model:Qwen/Qwen3-0.6B, base_model:quantized:Qwen/Qwen3-0.6B, license:apache-2.0, endpoints_compatible, region:us, conversational
232. Qwen/Qwen3-VL-4B-Instruct-FP8 | pipeline=image-text-to-text | likes=63 | tags: transformers, safetensors, qwen3_vl, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
233. Qwen/Qwen1.5-72B-Chat-GGUF | pipeline=text-generation | likes=62 | tags: gguf, chat, text-generation, en, arxiv:2309.16609, license:other, endpoints_compatible, region:us
234. Qwen/Qwen3-0.6B-FP8 | pipeline=text-generation | likes=62 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, base_model:Qwen/Qwen3-0.6B, base_model:quantized:Qwen/Qwen3-0.6B
235. Qwen/Qwen3-8B-FP8 | pipeline=text-generation | likes=62 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-8B
236. Qwen/Qwen1.5-1.8B | pipeline=text-generation | likes=59 | tags: transformers, safetensors, qwen2, text-generation, pretrained, conversational, en, arxiv:2309.16609
237. Qwen/Qwen1.5-72B | pipeline=text-generation | likes=59 | tags: transformers, safetensors, qwen2, text-generation, pretrained, conversational, en, arxiv:2309.16609
238. Qwen/Qwen2.5-14B-Instruct-GGUF | pipeline=text-generation | likes=59 | tags: gguf, chat, text-generation, en, arxiv:2407.10671, base_model:Qwen/Qwen2.5-14B-Instruct, base_model:quantized:Qwen/Qwen2.5-14B-Instruct, license:apache-2.0
239. Qwen/Qwen2-57B-A14B | pipeline=text-generation | likes=58 | tags: transformers, safetensors, qwen2_moe, text-generation, pretrained, moe, conversational, en
240. Qwen/Qwen2.5-Math-1.5B-Instruct | pipeline=text-generation | likes=58 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2409.12122
241. Qwen/Qwen2.5-Coder-0.5B | pipeline=text-generation | likes=57 | tags: transformers, safetensors, qwen2, text-generation, code, qwen, qwen-coder, codeqwen
242. Qwen/Qwen3-VL-30B-A3B-Thinking-FP8 | pipeline=image-text-to-text | likes=57 | tags: transformers, safetensors, qwen3_vl_moe, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
243. Qwen/Qwen3.5-27B-GPTQ-Int4 | pipeline=image-text-to-text | likes=57 | tags: transformers, safetensors, qwen3_5, image-text-to-text, conversational, license:apache-2.0, endpoints_compatible, 4-bit
244. Qwen/Qwen1.5-7B | pipeline=text-generation | likes=56 | tags: transformers, safetensors, qwen2, text-generation, pretrained, conversational, en, arxiv:2309.16609
245. Qwen/Qwen3-14B-Base | pipeline=text-generation | likes=54 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, license:apache-2.0, text-generation-inference
246. Qwen/Qwen3-Next-80B-A3B-Thinking-FP8 | pipeline=text-generation | likes=54 | tags: transformers, safetensors, qwen3_next, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, arxiv:2501.15383
247. Qwen/Qwen2.5-Coder-3B | pipeline=text-generation | likes=53 | tags: transformers, safetensors, qwen2, text-generation, code, qwen, qwen-coder, codeqwen
248. Qwen/Qwen3-30B-A3B-GPTQ-Int4 | pipeline=text-generation | likes=53 | tags: transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-30B-A3B
249. Qwen/Qwen1.5-32B-Chat-GGUF | pipeline=text-generation | likes=52 | tags: gguf, chat, text-generation, en, arxiv:2309.16609, license:other, endpoints_compatible, region:us
250. Qwen/Qwen3Guard-Gen-4B | pipeline=text-generation | likes=52 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2510.14276, base_model:Qwen/Qwen3-4B, base_model:finetune:Qwen/Qwen3-4B
251. Qwen/Qwen3-8B-AWQ | pipeline=text-generation | likes=51 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-8B
252. Qwen/Qwen1.5-MoE-A2.7B-Chat-GPTQ-Int4 | pipeline=text-generation | likes=50 | tags: transformers, safetensors, qwen2_moe, text-generation, chat, conversational, en, license:other
253. Qwen/Qwen2-VL-72B-Instruct-AWQ | pipeline=image-text-to-text | likes=50 | tags: safetensors, qwen2_vl, multimodal, image-text-to-text, conversational, en, arxiv:2409.12191, arxiv:2308.12966
254. Qwen/Qwen3-VL-2B-Instruct-GGUF | pipeline=image-text-to-text | likes=50 | tags: transformers, gguf, image-text-to-text, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191, arxiv:2308.12966, base_model:Qwen/Qwen3-VL-2B-Instruct
255. Qwen/Qwen2-VL-7B-Instruct-AWQ | pipeline=image-text-to-text | likes=49 | tags: transformers, safetensors, qwen2_vl, image-text-to-text, multimodal, conversational, en, arxiv:2409.12191
256. Qwen/Qwen3-1.7B-GGUF | pipeline=text-generation | likes=49 | tags: gguf, text-generation, base_model:Qwen/Qwen3-1.7B, base_model:quantized:Qwen/Qwen3-1.7B, license:apache-2.0, endpoints_compatible, region:us, conversational
257. Qwen/Qwen3-VL-4B-Instruct-GGUF | pipeline=image-text-to-text | likes=49 | tags: transformers, gguf, image-text-to-text, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191, arxiv:2308.12966, base_model:Qwen/Qwen3-VL-4B-Instruct
258. Qwen/Qwen3-14B-FP8 | pipeline=text-generation | likes=48 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-14B
259. Qwen/Qwen-72B-Chat-Int4 | pipeline=text-generation | likes=47 | tags: transformers, safetensors, qwen, text-generation, custom_code, zh, en, arxiv:2309.16609
260. Qwen/Qwen2.5-7B-Instruct-AWQ | pipeline=text-generation | likes=47 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071
261. Qwen/Qwen1.5-4B-Chat | pipeline=text-generation | likes=46 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.16609
262. Qwen/Qwen3-VL-32B-Instruct-FP8 | pipeline=image-text-to-text | likes=46 | tags: transformers, safetensors, qwen3_vl, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
263. Qwen/Qwen2.5-32B-Instruct-GGUF | pipeline=text-generation | likes=45 | tags: gguf, chat, text-generation, en, arxiv:2407.10671, base_model:Qwen/Qwen2.5-32B-Instruct, base_model:quantized:Qwen/Qwen2.5-32B-Instruct, license:apache-2.0
264. Qwen/Qwen2-Math-7B-Instruct | pipeline=text-generation | likes=44 | tags: safetensors, qwen2, chat, text-generation, conversational, en, arxiv:2407.10671, license:apache-2.0
265. Qwen/Qwen2.5-72B-Instruct-GPTQ-Int4 | pipeline=text-generation | likes=44 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071
266. Qwen/Qwen2.5-72B-Instruct-GGUF | pipeline=text-generation | likes=44 | tags: gguf, chat, text-generation, en, arxiv:2407.10671, base_model:Qwen/Qwen2.5-72B-Instruct, base_model:quantized:Qwen/Qwen2.5-72B-Instruct, license:other
267. Qwen/Qwen3-4B-SafeRL | pipeline=text-generation | likes=44 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2510.14276, base_model:Qwen/Qwen3-4B, base_model:finetune:Qwen/Qwen3-4B
268. Qwen/Qwen3-VL-235B-A22B-Instruct-FP8 | pipeline=image-text-to-text | likes=44 | tags: transformers, safetensors, qwen3_vl_moe, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
269. Qwen/Qwen3-VL-2B-Instruct-FP8 | pipeline=image-text-to-text | likes=42 | tags: transformers, safetensors, qwen3_vl, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191
270. Qwen/Qwen3.5-122B-A10B-GPTQ-Int4 | pipeline=image-text-to-text | likes=42 | tags: transformers, safetensors, qwen3_5_moe, image-text-to-text, conversational, license:apache-2.0, endpoints_compatible, 4-bit
271. Qwen/Qwen1.5-14B | pipeline=text-generation | likes=41 | tags: transformers, safetensors, qwen2, text-generation, pretrained, conversational, en, arxiv:2309.16609
272. Qwen/Qwen2-72B-Instruct-AWQ | pipeline=text-generation | likes=41 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071
273. Qwen/Qwen2.5-32B-Instruct-GPTQ-Int4 | pipeline=text-generation | likes=40 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071
274. Qwen/Qwen3-4B-FP8 | pipeline=text-generation | likes=39 | tags: transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-4B
275. Qwen/Qwen3Guard-Stream-8B | pipeline=? | likes=38 | tags: transformers, safetensors, arxiv:2510.14276, base_model:Qwen/Qwen3-8B, base_model:finetune:Qwen/Qwen3-8B, license:apache-2.0, endpoints_compatible, region:us
276. Qwen/SAE-Res-Qwen3.5-27B-W80K-L0_50 | pipeline=? | likes=38 | tags: topk_sae, sparse-autoencoder, sae, mechanistic-interpretability, interpretability, qwen-scope, arxiv:2605.11887, en
277. Qwen/Qwen1.5-72B-Chat-GPTQ-Int4 | pipeline=text-generation | likes=37 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.16609
278. Qwen/Qwen2-VL-7B-Instruct-GPTQ-Int4 | pipeline=image-text-to-text | likes=37 | tags: transformers, safetensors, qwen2_vl, image-text-to-text, multimodal, conversational, en, arxiv:2409.12191
279. Qwen/Qwen2.5-14B-Instruct-AWQ | pipeline=text-generation | likes=37 | tags: transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071
280. Qwen/Qwen2.5-Coder-32B-Instruct-AWQ | pipeline=text-generation | likes=37 | tags: transformers, safetensors, qwen2, text-generation, code, codeqwen, chat, qwen
281. Qwen/Qwen-1_8B-Chat-Int4 | pipeline=text-generation | likes=36 | tags: transformers, safetensors, qwen, text-generation, custom_code, zh, en, arxiv:2309.16609
